year,"last_name, first_name",name_abbrev,player_id,pitch_hand,pitch_comp,pitch_a,pitch_name_a,pitch_b,pitch_name_b,n_pitches,n_pitch_a,pitch_a_active_spin_formatted,pitch_a_hawkeye_measured_clock,pitch_a_hawkeye_measured_clock_label,pitch_a_movement_inferred_clock,pitch_a_movement_inferred_clock_label,pitch_a_diff_measured_inferred_minutes,n_pitch_b,pitch_b_active_spin_formatted,pitch_b_hawkeye_measured_clock,pitch_b_hawkeye_measured_clock_label,pitch_b_movement_inferred_clock,pitch_b_movement_inferred_clock_label,pitch_b_diff_measured_inferred_minutes,gap_diff_measured_inferred_minutes,diff_clock_label,diff_measured_hours,diff_inferred_hours
2024,"Vásquez, Randy",,681190,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,203,147,90,10.75,10:45,11.0,11:00,-15,56,89,11.0,11:00,10.25,10:15,45,60,-0H 15M,-0.25,0.75
2024,"Stripling, Ross",,548389,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,401,257,89,11.25,11:15,11.5,11:30,-15,144,85,11.0,11:00,10.25,10:15,45,60,+0H 15M,0.25,1.25
2024,"Buehler, Walker",,621111,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,103,74,91,11.25,11:15,11.5,11:30,-15,29,88,11.0,11:00,10.25,10:15,45,60,+0H 15M,0.25,1.25
2024,"Wesneski, Hayden",,669713,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,197,141,81,11.25,11:15,11.25,11:15,0,56,83,11.0,11:00,10.0,10:00,60,60,+0H 15M,0.25,1.25
2024,"Stratton, Hunter",,676702,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,131,115,78,11.25,11:15,11.75,11:45,-30,16,85,11.0,11:00,11.0,11:00,0,30,+0H 15M,0.25,0.75
2024,"Bowlan, Jonathan",,680742,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,43,30,96,11.0,11:00,11.25,11:15,-15,13,93,11.0,11:00,10.5,10:30,30,45, 0H 00M,0.0,0.75
2024,"Rodríguez, Manuel",,655889,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,85,35,82,11.25,11:15,11.5,11:30,-15,50,87,11.0,11:00,10.0,10:00,60,75,+0H 15M,0.25,1.5
2024,"Rodríguez, Yariel",,684320,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,146,121,69,11.25,11:15,11.75,11:45,-30,25,76,11.0,11:00,10.0,10:00,60,90,+0H 15M,0.25,1.75
2024,"Yamamoto, Yoshinobu",,808967,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,332,306,93,10.75,10:45,11.0,11:00,-15,26,90,11.0,11:00,10.25,10:15,45,60,-0H 15M,-0.25,0.75
2024,"Domínguez, Seranthony",,622554,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,212,147,77,11.0,11:00,11.25,11:15,-15,65,78,11.0,11:00,10.0,10:00,60,75, 0H 00M,0.0,1.25
2024,"Law, Derek",,571882,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,120,65,95,11.25,11:15,11.5,11:30,-15,55,87,11.25,11:15,10.25,10:15,60,75, 0H 00M,0.0,1.25
2024,"Gray, Sonny",,543243,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,262,160,66,11.5,11:30,12.0,12:00,-30,102,64,11.25,11:15,10.25,10:15,60,90,+0H 15M,0.25,1.75
2024,"Elder, Bryce",,693821,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,253,61,86,11.25,11:15,11.5,11:30,-15,192,81,11.25,11:15,10.25,10:15,60,75, 0H 00M,0.0,1.25
2024,"White, Mitch",,669952,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,200,152,77,11.25,11:15,11.5,11:30,-15,48,71,11.25,11:15,10.25,10:15,60,75, 0H 00M,0.0,1.25
2024,"Avila, Pedro",,658648,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,184,130,73,11.25,11:15,11.5,11:30,-15,54,72,11.25,11:15,10.0,10:00,75,90, 0H 00M,0.0,1.5
2024,"Brieske, Beau",,689225,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,39,23,89,11.5,11:30,11.5,11:30,0,16,88,11.25,11:15,10.5,10:30,45,45,+0H 15M,0.25,1.0
2024,"Brown, Hunter",,686613,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,359,325,90,11.5,11:30,11.75,11:45,-15,34,88,11.25,11:15,10.5,10:30,45,60,+0H 15M,0.25,1.25
2024,"Musgrove, Joe",,605397,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,178,144,67,11.0,11:00,11.25,11:15,-15,34,66,11.25,11:15,9.75,9:45,90,105,-0H 15M,-0.25,1.5
2024,"Pruitt, Austin",,643493,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,33,21,77,11.25,11:15,11.5,11:30,-15,12,75,11.25,11:15,10.25,10:15,60,75, 0H 00M,0.0,1.25
2024,"Flaherty, Jack",,656427,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,352,334,79,11.25,11:15,11.5,11:30,-15,18,72,11.25,11:15,10.0,10:00,75,90, 0H 00M,0.0,1.5
2024,"Leclerc, José",,600917,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,157,140,77,11.25,11:15,11.75,11:45,-30,17,77,11.25,11:15,10.25,10:15,60,90, 0H 00M,0.0,1.5
2024,"Martinez, Nick",,607259,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,211,120,89,11.25,11:15,11.5,11:30,-15,91,86,11.25,11:15,10.5,10:30,45,60, 0H 00M,0.0,1.0
2024,"Blackburn, Paul",,621112,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,229,157,90,11.25,11:15,11.5,11:30,-15,72,84,11.25,11:15,10.25,10:15,60,75, 0H 00M,0.0,1.25
2024,"Thornton, Trent",,663423,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,75,44,73,11.25,11:15,11.5,11:30,-15,31,71,11.25,11:15,10.0,10:00,75,90, 0H 00M,0.0,1.5
2024,"Taillon, Jameson",,592791,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,210,192,91,11.25,11:15,11.25,11:15,0,18,92,11.25,11:15,10.5,10:30,45,45, 0H 00M,0.0,0.75
2024,"Rodríguez, Randy",,678495,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,113,94,88,11.25,11:15,11.25,11:15,0,19,84,11.25,11:15,10.25,10:15,60,60, 0H 00M,0.0,1.0
2024,"Pressly, Ryan",,519151,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,90,79,75,11.5,11:30,12.0,12:00,-30,11,71,11.5,11:30,10.75,10:45,45,75, 0H 00M,0.0,1.25
2024,"Staumont, Josh",,622251,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,24,12,92,11.5,11:30,11.5,11:30,0,12,87,11.5,11:30,10.75,10:45,45,45, 0H 00M,0.0,0.75
2024,"Bradish, Kyle",,680694,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,127,26,70,12.0,12:00,12.5,12:30,-30,101,77,11.75,11:45,10.5,10:30,75,105,+0H 15M,0.25,2.0
2024,"Glasnow, Tyler",,607192,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,480,453,74,11.75,11:45,12.0,12:00,-15,27,76,11.75,11:45,10.75,10:45,60,75, 0H 00M,0.0,1.25
2024,"Pallante, Andre",,669467,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,147,109,73,12.0,12:00,11.75,11:45,15,38,89,11.75,11:45,10.75,10:45,60,45,+0H 15M,0.25,1.0
