Season,name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm
2024,"Holton, Tyler",663947,L,SL,54,81.9,2621,12.5,0.525044594,0.40408928,290.8563665,266.4070439,Slider,40,495,540,24.44932264,24.44932264,-45,8,15,9,0,0,45
2024,"Santana, Dennis",642701,R,SL,67,85.2,2519,4,0.166622666,0.181290662,104.3267863,50.33498319,Slider,18,150,255,53.99180313,53.99180313,-105,2,30,4,15,1,45
2024,"Okert, Steven",595345,L,SL,168,80.3,2594,13,0.539642623,0.488386663,271.3077979,256.8055006,Slider,49,540,570,14.50229729,14.50229729,-30,9,0,9,30,0,30
2024,"Thompson, Ryan",657044,R,SL,59,77.9,2209,16.4,0.755995141,0.736237805,88.12675092,113.6966881,Slider,74,180,135,-25.56993714,25.56993714,45,3,0,2,15,0,45
2024,"Spence, Mitch",687765,R,SL,209,84.3,2785,17.6,0.714313632,0.609701474,62.62724105,75.3910236,Slider,61,240,210,-12.76378255,12.76378255,30,4,0,3,30,0,30
2024,"McArthur, James",663704,R,SL,76,87.3,2241,2.7,0.1215091,0.118690638,185.0090782,163.0952814,Slider,12,705,750,21.91379679,21.91379679,-45,11,45,12,30,0,45
2024,"Vieira, Thyago",600986,R,SL,169,88,2239,4.4,0.200447983,0.392991309,141.4499072,138.8791031,Slider,39,75,75,2.570804084,2.570804084,0,1,15,1,15,0,0
2024,"Clase, Emmanuel",661403,R,SL,61,89.8,2535,9.9,0.429904116,0.40293826,75.79847386,95.2630334,Slider,40,210,165,-19.46455954,19.46455954,45,3,30,2,45,0,45
2024,"Castillo, Luis",622491,R,SL,213,85.7,2308,2.8,0.123742063,0.107768828,91.87852673,55.04225522,Slider,11,180,255,36.83627151,36.83627151,-75,3,0,4,15,1,15
2024,"Means, John",607644,L,SL,74,84.5,2269,7.4,0.332738945,0.488760677,170.0748553,197.3475331,Slider,49,735,690,-27.27267787,27.27267787,45,12,15,11,30,0,45
2024,"Blanco, Ronel",669854,R,SL,182,86.7,2086,7.7,0.358591119,0.465832927,197.0747668,164.2694346,Slider,47,690,750,32.80533213,32.80533213,-60,11,30,12,30,1,0
2024,"Walker, Ryan",676254,R,SL,186,82.8,2589,17.3,0.721338729,0.58462252,69.21913861,93.20910731,Slider,58,225,180,-23.9899687,23.9899687,45,3,45,3,0,0,45
