year,name,player_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Hendricks, Kyle",543294,Cubs,CHC,R,87.8,183,555,11.5625,0.32972973,SI,Sinker,28.1,-27.5,0.6,2,14.7,-15,-0.4,-3,0.632183908,0.32183908
2024,"Hendricks, Kyle",543294,Cubs,CHC,R,87.9,82,555,11.5625,0.147747748,FF,4-Seam Fastball,20.3,-18.6,-1.6,-9,7.7,-6.5,1.2,18,0.217277487,0.633507853
2024,"Hudson, Daniel",543339,Dodgers,LAD,R,95.4,168,327,6.54,0.513761468,FF,4-Seam Fastball,14.5,-14.8,0.3,2,8.1,-8.3,-0.2,-3,0.565445026,0.426701571
2024,"Hudson, Daniel",543339,Dodgers,LAD,R,87.9,128,327,6.54,0.391437309,SL,Slider,30.6,-33.2,-2.6,-8,1,4.1,-3.1,-75,0.191419142,0.161716172
2024,"Jackson, Jay",543351,Twins,MIN,R,85,219,388,8.255319149,0.56443299,SL,Slider,31.4,-36.3,-5,-14,3.2,5.7,-2.5,-44,0.02640264,0.231023102
2024,"Jackson, Jay",543351,Twins,MIN,R,91.8,98,388,8.255319149,0.25257732,FF,4-Seam Fastball,16.5,-16.4,0,0,10,-7.5,2.6,34,0.494764398,0.811518325
2024,"Jackson, Jay",543351,Twins,MIN,R,86,57,388,8.255319149,0.146907216,CH,Changeup,30.6,-31.5,-0.9,-3,14.9,-14.2,0.7,5,0.412017167,0.497854077
2024,"McGough, Scott",543518,D-backs,AZ,R,93.2,126,274,5.708333333,0.459854015,FF,4-Seam Fastball,13.2,-15.1,1.9,13,8.2,-7.6,0.6,8,0.879581152,0.539267016
2024,"McGough, Scott",543518,D-backs,AZ,R,85.2,87,274,5.708333333,0.317518248,FS,Split-Finger,29.5,-35.3,-5.7,-16,6.8,-9.3,-2.5,-27,0,0.212121212
2024,"Shaw, Bryan",543766,White Sox,CWS,R,93.3,61,95,1.979166667,0.642105263,FC,Cutter,22.4,-22,-0.4,-2,2.8,1.4,1.4,102,,
